subject,dataset,seed,condition,history_mode,n_events,n_contacts,suffix_participation_mae,suffix_rank_wasserstein,suffix_precedence_mae,suffix_precedence_correlation,suffix_participant_count_mean_error,suffix_event_length_mean_error,transition_mae,transition_correlation,event_length_wasserstein,stop_hazard_mae
epilepsiae_1096,epilepsiae,20260725,converged_teacher_forced,shuffled,28068,7,0.07082798916916061,0.05622456545522311,0.09502665774237064,0.754228858403588,0.4853926179278898,0.4853926179278898,0.030896441253844397,0.943614408514122,0.08495694130580833,0.08033240840131915
epilepsiae_1125,epilepsiae,20260725,converged_teacher_forced,ordered,7195,8,0.06334259902710215,0.05003392586159825,0.09789091847976764,0.8972954238089497,-0.18290479499652523,-0.18290479499652523,0.027999959337439574,0.8551570690197832,0.03300903405142461,0.05719815354472489
epilepsiae_1125,epilepsiae,20260725,converged_teacher_forced,frozen,7195,8,0.24695969423210562,0.061681073154929836,0.0678733532690198,0.9223103557609694,1.975677553856845,1.975677553856845,0.0482022687721579,0.7606202403890263,0.2481063238359972,0.1805345109997538
epilepsiae_1125,epilepsiae,20260725,converged_teacher_forced,shuffled,7195,8,0.08990618485059068,0.05404110451694927,0.09787240895302615,0.8850882485108854,0.4309937456567061,0.4309937456567061,0.042479790827669395,0.8574639875217908,0.06263029881862404,0.04749780646076307
epilepsiae_1146,epilepsiae,20260725,converged_teacher_forced,ordered,2486,15,0.051676052561008316,0.034388380858218624,0.05417470125627825,0.8960118817569989,-0.362429605792439,-0.362429605792439,0.011664951397813768,0.9335488601326943,0.036658621614373825,0.05993002747460928
epilepsiae_1146,epilepsiae,20260725,converged_teacher_forced,frozen,2486,15,0.23437919013140246,0.06174404347196078,0.088700836617783,0.727562069759699,3.5156878519710375,3.5156878519710375,0.0242136448619601,0.7446581655395808,0.236095467953875,0.11071809947365087
epilepsiae_1146,epilepsiae,20260725,converged_teacher_forced,shuffled,2486,15,0.06741753821399839,0.06374805177205416,0.09885005418360203,0.425031751014935,0.5132743362831853,0.5132743362831853,0.022444984844862684,0.8545714986515153,0.05159560203807992,0.029068779758815912
epilepsiae_1150,epilepsiae,20260725,converged_teacher_forced,ordered,1713,9,0.052863721865473196,0.07715311792204982,0.12540425744829545,0.7498236400602719,-0.22942206654991182,-0.22942206654991182,0.02971253453395896,0.9333250412654596,0.038074852435623,0.06729927390624417
epilepsiae_1150,epilepsiae,20260725,converged_teacher_forced,frozen,1713,9,0.36044626062139196,0.10447213757411142,0.09220236077931072,0.9072644085578322,3.244016345592528,3.244016345592528,0.05201241762548791,0.6907738145827478,0.362002983719271,0.2861921479318294
epilepsiae_1150,epilepsiae,20260725,converged_teacher_forced,shuffled,1713,9,0.14380229616656937,0.07140484951797624,0.10021640946459441,0.8677844921750556,0.914769410391127,0.914769410391127,0.05051960288438957,0.7396847473815483,0.13653758837646754,0.1376153191374586
epilepsiae_139,epilepsiae,20260725,converged_teacher_forced,ordered,1837,7,0.08593203203981646,0.0761201689155221,0.10504667977038559,0.10100600866559835,0.2324442025040825,0.2324442025040825,0.029592047148689193,0.8950290380804151,0.0683567929076911,0.07302700544771315
epilepsiae_139,epilepsiae,20260725,converged_teacher_forced,frozen,1837,7,0.3224978614200171,0.11778271205731443,0.13764247196042514,0.008721981288166914,2.2574850299401192,2.2574850299401192,0.05470587013138764,0.6036789727459833,0.32778598646862117,0.28503673330277995
