subject,seed_dir,control,metric,k,value,k80,k90,k95,original_heldout_event_nll,reconstructed_heldout_event_nll,nll_loss
epilepsiae_1077,seed_20260725,full_history_gru,pca_reconstruction,4,0.9502250793397035,2,3,4,1.3099396890923214,1.3067098499567822,-0.003229839135539203
epilepsiae_1077,seed_20260725,full_history_gru,pca_reconstruction,8,0.991232290924771,2,3,4,1.3099396890923214,1.3101658410683048,0.00022615197598341297
epilepsiae_1077,seed_20260725,full_history_gru,pca_reconstruction,16,0.9991033506606187,2,3,4,1.3099396890923214,1.309998438952815,5.874986049358988e-05
epilepsiae_1077,seed_20260725,full_history_gru,pca_reconstruction,32,0.9999999999999983,2,3,4,1.3099396890923214,1.309939691758752,2.6664306318480158e-09
epilepsiae_1077,seed_20260725,rank_shuffle_gru,pca_inventory,-1,1.400510186784173,1,2,3,1.3975160728366713,,
epilepsiae_1077,seed_20260725,rank_shuffle_gru,pca_reconstruction,0,0.0,1,2,3,1.3975160728366713,1.5650793407605739,0.16756326792390253
epilepsiae_1077,seed_20260725,rank_shuffle_gru,pca_reconstruction,1,0.8227513611923225,1,2,3,1.3975160728366713,1.4174362832357432,0.01992021039907188
epilepsiae_1077,seed_20260725,rank_shuffle_gru,pca_reconstruction,2,0.9311675413246014,1,2,3,1.3975160728366713,1.4096879839284588,0.012171911091787502
epilepsiae_1077,seed_20260725,rank_shuffle_gru,pca_reconstruction,4,0.9909347093347077,1,2,3,1.3975160728366713,1.3973565428991734,-0.00015952993749790423
epilepsiae_1077,seed_20260725,rank_shuffle_gru,pca_reconstruction,8,0.9986218915877627,1,2,3,1.3975160728366713,1.3966685433705737,-0.000847529466097674
epilepsiae_1077,seed_20260725,rank_shuffle_gru,pca_reconstruction,16,0.9998869705556218,1,2,3,1.3975160728366713,1.397508497271199,-7.575565472262014e-06
epilepsiae_1077,seed_20260725,rank_shuffle_gru,pca_reconstruction,32,0.9999999999999983,1,2,3,1.3975160728366713,1.3975160757043685,2.8676971908225823e-09
epilepsiae_1084,seed_20260725,full_history_gru,pca_inventory,-1,2.274923929718186,2,4,5,1.9336439795717606,,
epilepsiae_1084,seed_20260725,full_history_gru,pca_reconstruction,0,0.0,2,4,5,1.9336439795717606,1.9752071804472615,0.041563200875500916
epilepsiae_1084,seed_20260725,full_history_gru,pca_reconstruction,1,0.6328423683650115,2,4,5,1.9336439795717606,1.9086245468865775,-0.02501943268518314
epilepsiae_1084,seed_20260725,full_history_gru,pca_reconstruction,2,0.8329457641755329,2,4,5,1.9336439795717606,1.9438981445008736,0.010254164929113019
epilepsiae_1084,seed_20260725,full_history_gru,pca_reconstruction,4,0.9317899608784642,2,4,5,1.9336439795717606,1.938575108397273,0.0049311288255124985
epilepsiae_1084,seed_20260725,full_history_gru,pca_reconstruction,8,0.9828832650198981,2,4,5,1.9336439795717606,1.934449457653507,0.000805478081746358
epilepsiae_1084,seed_20260725,full_history_gru,pca_reconstruction,16,0.9967584506581466,2,4,5,1.9336439795717606,1.9336034456004563,-4.053397130432401e-05
epilepsiae_1084,seed_20260725,full_history_gru,pca_reconstruction,32,0.9999999999999986,2,4,5,1.9336439795717606,1.9336439713970857,-8.174674936967108e-09
epilepsiae_1084,seed_20260725,rank_shuffle_gru,pca_inventory,-1,1.251792136294752,1,2,2,1.885323933630575,,
epilepsiae_1084,seed_20260725,rank_shuffle_gru,pca_reconstruction,0,0.0,1,2,2,1.885323933630575,1.9542719942282027,0.06894806059762781
epilepsiae_1084,seed_20260725,rank_shuffle_gru,pca_reconstruction,1,0.9009248381760241,1,2,2,1.885323933630575,1.8904676564272065,0.005143722796631556
epilepsiae_1084,seed_20260725,rank_shuffle_gru,pca_reconstruction,2,0.9534430650547925,1,2,2,1.885323933630575,1.8885059267494586,0.0031819931188836748
epilepsiae_1084,seed_20260725,rank_shuffle_gru,pca_reconstruction,4,0.9894412135574857,1,2,2,1.885323933630575,1.8874141930421358,0.002090259411560824
epilepsiae_1084,seed_20260725,rank_shuffle_gru,pca_reconstruction,8,0.9978106819080537,1,2,2,1.885323933630575,1.8853791107806555,5.517715008052093e-05
epilepsiae_1084,seed_20260725,rank_shuffle_gru,pca_reconstruction,16,0.9997370561586698,1,2,2,1.885323933630575,1.8852892764410465,-3.465718952844199e-05
epilepsiae_1084,seed_20260725,rank_shuffle_gru,pca_reconstruction,32,0.9999999999999991,1,2,2,1.885323933630575,1.8853239411714142,7.5408392863352e-09
epilepsiae_1096,seed_20260725,full_history_gru,pca_inventory,-1,2.082001252500969,2,3,4,1.4503561432420697,,
epilepsiae_1096,seed_20260725,full_history_gru,pca_reconstruction,0,0.0,2,3,4,1.4503561432420697,1.6131794232560164,0.16282328001394664
epilepsiae_1096,seed_20260725,full_history_gru,pca_reconstruction,1,0.6381862264823154,2,3,4,1.4503561432420697,1.5092254238379872,0.05886928059591745
epilepsiae_1096,seed_20260725,full_history_gru,pca_reconstruction,2,0.8598669770633675,2,3,4,1.4503561432420697,1.481406113566447,0.031049970324377174
epilepsiae_1096,seed_20260725,full_history_gru,pca_reconstruction,4,0.9666128655927226,2,3,4,1.4503561432420697,1.4508265844675492,0.00047044122547945655
epilepsiae_1096,seed_20260725,full_history_gru,pca_reconstruction,8,0.9915004269902873,2,3,4,1.4503561432420697,1.4505323176000577,0.00017617435798800152
epilepsiae_1096,seed_20260725,full_history_gru,pca_reconstruction,16,0.9986201734704936,2,3,4,1.4503561432420697,1.450499378993984,0.0001432357519142169
epilepsiae_1096,seed_20260725,full_history_gru,pca_reconstruction,32,0.9999999999999983,2,3,4,1.4503561432420697,1.4503561116876273,-3.155444239233418e-08
epilepsiae_1096,seed_20260725,rank_shuffle_gru,pca_inventory,-1,1.208835706923309,1,1,2,1.4869668231772568,,
epilepsiae_1096,seed_20260725,rank_shuffle_gru,pca_reconstruction,0,0.0,1,1,2,1.4869668231772568,1.582768354961618,0.09580153178436124
epilepsiae_1096,seed_20260725,rank_shuffle_gru,pca_reconstruction,1,0.9029360311448308,1,1,2,1.4869668231772568,1.49463955344739,0.0076727302701331546
epilepsiae_1096,seed_20260725,rank_shuffle_gru,pca_reconstruction,2,0.953763775575241,1,1,2,1.4869668231772568,1.49470589717821,0.007739074000953083
epilepsiae_1096,seed_20260725,rank_shuffle_gru,pca_reconstruction,4,0.9922847376497774,1,1,2,1.4869668231772568,1.4870018050960165,3.498191875972445e-05
epilepsiae_1096,seed_20260725,rank_shuffle_gru,pca_reconstruction,8,0.9988473352759657,1,1,2,1.4869668231772568,1.486754875893253,-0.0002119472840038661
epilepsiae_1096,seed_20260725,rank_shuffle_gru,pca_reconstruction,16,0.9999421814093464,1,1,2,1.4869668231772568,1.4869542230426824,-1.2600134574380917e-05
epilepsiae_1096,seed_20260725,rank_shuffle_gru,pca_reconstruction,32,0.9999999999999983,1,1,2,1.4869668231772568,1.4869668271995449,4.022288058180834e-09
epilepsiae_1125,seed_20260725,full_history_gru,pca_inventory,-1,2.2311131680386094,2,3,4,1.4161893636164764,,
epilepsiae_1125,seed_20260725,full_history_gru,pca_reconstruction,0,0.0,2,3,4,1.4161893636164764,1.532045331665133,0.11585596804865661
epilepsiae_1125,seed_20260725,full_history_gru,pca_reconstruction,1,0.6493316233738915,2,3,4,1.4161893636164764,1.4808586788053546,0.0646693151888782
epilepsiae_1125,seed_20260725,full_history_gru,pca_reconstruction,2,0.8438532482277944,2,3,4,1.4161893636164764,1.4347575806000104,0.018568216983533947
epilepsiae_1125,seed_20260725,full_history_gru,pca_reconstruction,4,0.9563813086932952,2,3,4,1.4161893636164764,1.4148505432924543,-0.0013388203240221053
epilepsiae_1125,seed_20260725,full_history_gru,pca_reconstruction,8,0.988324393808933,2,3,4,1.4161893636164764,1.4160173171057862,-0.00017204651069024912
epilepsiae_1125,seed_20260725,full_history_gru,pca_reconstruction,16,0.9981027063228796,2,3,4,1.4161893636164764,1.4160268648244667,-0.00016249879200969097
epilepsiae_1125,seed_20260725,full_history_gru,pca_reconstruction,32,0.9999999999999988,2,3,4,1.4161893636164764,1.4161893652624944,1.6460179885768866e-09
epilepsiae_1125,seed_20260725,rank_shuffle_gru,pca_inventory,-1,1.2584854955600449,1,2,3,1.4674344607828913,,
epilepsiae_1125,seed_20260725,rank_shuffle_gru,pca_reconstruction,0,0.0,1,2,3,1.4674344607828913,1.523770495595633,0.05633603481274174
epilepsiae_1125,seed_20260725,rank_shuffle_gru,pca_reconstruction,1,0.9017836658089073,1,2,3,1.4674344607828913,1.4805675300131418,0.013133069230250483
epilepsiae_1125,seed_20260725,rank_shuffle_gru,pca_reconstruction,2,0.9508978521489944,1,2,3,1.4674344607828913,1.480798739623701,0.013364278840809707
epilepsiae_1125,seed_20260725,rank_shuffle_gru,pca_reconstruction,4,0.9902278890235695,1,2,3,1.4674344607828913,1.4681010536097996,0.0006665928269082855
epilepsiae_1125,seed_20260725,rank_shuffle_gru,pca_reconstruction,8,0.9981367009984342,1,2,3,1.4674344607828913,1.4678084277919892,0.0003739670090978642
epilepsiae_1125,seed_20260725,rank_shuffle_gru,pca_reconstruction,16,0.9998402944250926,1,2,3,1.4674344607828913,1.46741407740268,-2.0383380211264068e-05
epilepsiae_1125,seed_20260725,rank_shuffle_gru,pca_reconstruction,32,0.999999999999999,1,2,3,1.4674344607828913,1.4674344642864958,3.5036045176184416e-09
epilepsiae_1146,seed_20260725,full_history_gru,pca_inventory,-1,2.308965818225839,2,3,4,2.095409149248377,,
epilepsiae_1146,seed_20260725,full_history_gru,pca_reconstruction,0,0.0,2,3,4,2.095409149248377,2.197577511111262,0.10216836186288525
epilepsiae_1146,seed_20260725,full_history_gru,pca_reconstruction,1,0.6032147843057234,2,3,4,2.095409149248377,2.1897105431237875,0.0943013938754107
epilepsiae_1146,seed_20260725,full_history_gru,pca_reconstruction,2,0.8584538210021759,2,3,4,2.095409149248377,2.103891921282588,0.008482772034211106
epilepsiae_1146,seed_20260725,full_history_gru,pca_reconstruction,4,0.9575373612011878,2,3,4,2.095409149248377,2.094726385118933,-0.0006827641294440134
epilepsiae_1146,seed_20260725,full_history_gru,pca_reconstruction,8,0.9880423186247286,2,3,4,2.095409149248377,2.095188881369982,-0.00022026787839468653
epilepsiae_1146,seed_20260725,full_history_gru,pca_reconstruction,16,0.9980979366040158,2,3,4,2.095409149248377,2.0953893077964265,-1.9841451950330935e-05
